"Date","Trend"
1935-12-01,50.152640751114
1936-01-01,50.2210127761985
1936-02-01,50.3162663233087
1936-03-01,50.4115198704188
1936-04-01,50.5859156321813
1936-05-01,50.7603113939437
1936-06-01,51.1491034457288
1936-07-01,51.5378954975139
1936-08-01,51.8602094257217
1936-09-01,52.1825233539296
1936-10-01,52.2147404490569
1936-11-01,52.2469575441843
1936-12-01,52.2320723377366
1937-01-01,52.217187131289
1937-02-01,52.187756083864
1937-03-01,52.1583250364391
1937-04-01,51.9956646385998
1937-05-01,51.8330042407605
1937-06-01,51.6196104880086
1937-07-01,51.4062167352566
1937-08-01,51.3976521806712
1937-09-01,51.3890876260858
1937-10-01,51.5256606813383
1937-11-01,51.6622337365907
1937-12-01,51.6786677580365
1938-01-01,51.6951017794822
1938-02-01,51.7416994071837
1938-03-01,51.7882970348851
1938-04-01,51.8906514485658
1938-05-01,51.9930058622466
1938-06-01,52.0216229426232
1938-07-01,52.0502400229999
1938-08-01,51.9999698373945
1938-09-01,51.9496996517891
1938-10-01,51.9286971056756
1938-11-01,51.9076945595622
1938-12-01,51.9657263243075
1939-01-01,52.0237580890528
1939-02-01,52.0622249997092
1939-03-01,52.1006919103657
1939-04-01,52.0312387439003
1939-05-01,51.961785577435
1939-06-01,51.6825965136348
1939-07-01,51.4034074498346
1939-08-01,50.989475150289
1939-09-01,50.5755428507433
1939-10-01,50.1953608861511
1939-11-01,49.8151789215589
1939-12-01,49.5392691436291
1940-01-01,49.2633593656993
1940-02-01,49.064594546849
1940-03-01,48.8658297279986
1940-04-01,48.8122151631692
1940-05-01,48.7586005983398
1940-06-01,48.9399972111949
1940-07-01,49.12139382405
1940-08-01,49.3418365074659
1940-09-01,49.5622791908817
1940-10-01,49.7893904713895
1940-11-01,50.0165017518973
1940-12-01,50.2222908782571
1941-01-01,50.428080004617
1941-02-01,50.6788882650756
1941-03-01,50.9296965255342
1941-04-01,51.2387156205636
1941-05-01,51.547734715593
1941-06-01,51.773765168032
1941-07-01,51.9997956204711
1941-08-01,52.1320698675587
1941-09-01,52.2643441146464
1941-10-01,52.3571305083875
1941-11-01,52.4499169021286
1941-12-01,52.50828334112
1942-01-01,52.5666497801115
1942-02-01,52.5270097747535
1942-03-01,52.4873697693954
1942-04-01,52.3189729609154
1942-05-01,52.1505761524355
1942-06-01,51.9902932161005
1942-07-01,51.8300102797654
1942-08-01,51.6696710686235
1942-09-01,51.5093318574815
1942-10-01,51.2977084699511
1942-11-01,51.0860850824208
1942-12-01,51.0512031300573
1943-01-01,51.0163211776937
1943-02-01,51.0755109221651
1943-03-01,51.1347006666366
1943-04-01,51.1138777913405
1943-05-01,51.0930549160445
1943-06-01,51.0799934832786
1943-07-01,51.0669320505128
1943-08-01,51.03925241214
1943-09-01,51.0115727737673
1943-10-01,50.9907550694876
1943-11-01,50.969937365208
1943-12-01,50.9912009528443
1944-01-01,51.0124645404805
1944-02-01,51.1617857557042
1944-03-01,51.3111069709279
1944-04-01,51.4333061768105
1944-05-01,51.5555053826931
1944-06-01,51.480902011628
1944-07-01,51.406298640563
1944-08-01,51.4144789310262
1944-09-01,51.4226592214894
1944-10-01,51.5301403070712
1944-11-01,51.637621392653
1944-12-01,51.5991260576399
1945-01-01,51.5606307226268
1945-02-01,51.5444296238937
1945-03-01,51.5282285251605
1945-04-01,51.6433558263301
1945-05-01,51.7584831274997
1945-06-01,51.8315592343018
1945-07-01,51.9046353411039
1945-08-01,51.8836593648473
1945-09-01,51.8626833885907
1945-10-01,51.8193847860017
1945-11-01,51.7760861834127
1945-12-01,51.7821488843356
1946-01-01,51.7882115852584
1946-02-01,51.7468750598755
1946-03-01,51.7055385344926
1946-04-01,51.8249362832223
1946-05-01,51.9443340319519
1946-06-01,52.1508487342203
1946-07-01,52.3573634364887
1946-08-01,52.2885841140957
1946-09-01,52.2198047917027
1946-10-01,52.0577609913226
1946-11-01,51.8957171909425
1946-12-01,51.854693652804
1947-01-01,51.8136701146655
1947-02-01,51.7992394827184
1947-03-01,51.7848088507713
1947-04-01,51.637987341217
1947-05-01,51.4911658316627
1947-06-01,51.2201487022661
1947-07-01,50.9491315728694
1947-08-01,50.8216622863175
1947-09-01,50.6941929997656
1947-10-01,50.7228580268946
1947-11-01,50.7515230540236
1947-12-01,50.7477177039469
1948-01-01,50.7439123538701
1948-02-01,50.6970482108973
1948-03-01,50.6501840679245
1948-04-01,50.7748914521915
1948-05-01,50.8995988364584
1948-06-01,51.3750333062894
1948-07-01,51.8504677761204
1948-08-01,52.3579591229365
1948-09-01,52.8654504697526
1948-10-01,53.1435578268152
1948-11-01,53.4216651838778
1948-12-01,53.6237334861161
1949-01-01,53.8258017883543
1949-02-01,53.920977027982
1949-03-01,54.0161522676096
1949-04-01,53.9594636369078
1949-05-01,53.9027750062061
1949-06-01,53.8004996525397
1949-07-01,53.6982242988733
1949-08-01,53.5340943742683
1949-09-01,53.3699644496632
1949-10-01,53.1069128946442
1949-11-01,52.8438613396252
1949-12-01,52.5107994722466
1950-01-01,52.1777376048679
1950-02-01,51.8747097159782
1950-03-01,51.5716818270885
1950-04-01,51.3243598255094
1950-05-01,51.0770378239303
1950-06-01,50.9213543588781
1950-07-01,50.765670893826
1950-08-01,50.8768007114345
1950-09-01,50.987930529043
1950-10-01,51.2802416619889
1950-11-01,51.5725527949347
1950-12-01,51.7487894702664
1951-01-01,51.9250261455982
1951-02-01,52.0048007904246
1951-03-01,52.084575435251
1951-04-01,52.0574742690285
1951-05-01,52.030373102806
1951-06-01,52.0127516925519
1951-07-01,51.9951302822978
1951-08-01,52.0309505610683
1951-09-01,52.0667708398388
1951-10-01,52.1475588766717
1951-11-01,52.2283469135046
1951-12-01,52.3478118090692
1952-01-01,52.4672767046338
1952-02-01,52.5375827420308
1952-03-01,52.6078887794278
1952-04-01,52.5512721273123
1952-05-01,52.4946554751968
1952-06-01,52.4828796568745
1952-07-01,52.4711038385523
1952-08-01,52.5800439929795
1952-09-01,52.6889841474067
1952-10-01,52.8332896682107
1952-11-01,52.9775951890146
1952-12-01,53.0357195647543
1953-01-01,53.093843940494
1953-02-01,53.1459310048551
1953-03-01,53.1980180692161
1953-04-01,53.2416287711503
1953-05-01,53.2852394730845
1953-06-01,53.2116349982044
1953-07-01,53.1380305233243
1953-08-01,53.0781044030499
1953-09-01,53.0181782827755
1953-10-01,53.0172634884428
1953-11-01,53.01634869411
