Date,Value
193404,48.4
193405,61.5
193406,71.8
193407,75
193408,69
193409,66.2
193410,51.7
193411,45.7
193412,31.7
193501,27
193502,28.9
193503,42.1
193504,47.3
193505,56.6
193506,68
193507,75.1
193508,71.7
193509,62.4
193510,53.5
193511,46.1
193512,27.3
193601,25.6
193602,22.7
193603,44
193604,46.8
193605,62
193606,68
193607,73.4
193608,73.2
193609,65.8
193610,54.3
193611,39.5
193612,36.1
193701,38
193702,32.5
193703,34.6
193704,48.1
193705,61.4
193706,69.5
193707,73.5
193708,74.2
193709,62.2
193710,52
193711,42.1
193712,31.8
193801,29.8
193802,34.1
193803,42
193804,51.8
193805,58.2
193806,67.5
193807,73.6
193808,74
193809,62.6
193810,54.7
193811,44.3
193812,33.6
193901,29.6
193902,35.2
193903,38.4
193904,47.1
193905,62.2
193906,69.9
193907,72.3
193908,74.1
193909,65.2
193910,53.6
193911,39.8
193912,33.9
194001,20.5
194002,30.3
194003,33.2
194004,44.5
194005,58.8
194006,67.8
194007,73.1
194008,68.4
194009,62.3
194010,49.7
194011,42
194012,35.9
194101,28
194102,28
194103,33.2
194104,54.4
194105,61.8
194106,68.5
194107,73
194108,70.1
194109,66.7
194110,58
194111,45.2
194112,36
194201,27.7
194202,28.2
194203,41
194204,52.1
194205,63.4
194206,69.1
194207,73.7
194208,70.5
194209,65.2
194210,54.7
194211,43.4
194212,28.8
194301,28.9
194302,31.7
194303,38.5
194304,44.5
194305,60.9
194306,73.6
194307,73.3
194308,72.4
194309,63.8
194310,52.2
194311,40.9
194312,30.1
194401,31.2
194402,31
194403,36.1
194404,47
194405,64.6
194406,69.7
194407,74.9
194408,73.2
194409,65.9
194410,52.6
194411,42.3
194412,29.4
194501,23
194502,30.8
194503,48.8
194504,53.3
194505,57.7
194506,68.8
194507,72.6
194508,70.2
194509,67.9
194510,52.8
194511,44.8
194512,27.6
194601,31.2
194602,31
194603,46.8
194604,49
194605,60
194606,67
194607,72.2
194608,68.2
194609,66.4
194610,57.5
194611,46.7
194612,35.5
194701,35.6
194702,26.7
194703,34.9
194704,49.4
194705,59.1
194706,66.6
194707,72.7
194708,73.4
194709,65.9
194710,59.2
194711,40.1
194712,30.8
194801,22.8
194802,28.3
194803,41
194804,49.4
194805,59.1
194806,68.1
194807,73.8
194808,72.2
194809,65.3
194810,52.5
194811,48.2
194812,34.5
194901,36.7
194902,36.7
194903,41
194904,50.4
194905,60.4
194906,71.1
194907,77
194908,73.5
194909,62.7
194910,58.7
194911,42.3
194912,35.8
195001,39.7
195002,30.3
195003,35.3
195004,46.4
195005,57.8
195006,67.6
195007,72.1
195008,70.2
195009,61.7
195010,56.3
195011,44.5
195012,30.9
195101,33.2
195102,33.5
195103,39.8
195104,50.2
195105,60.4
195106,67.7
195107,73.5
195108,71.3
195109,64.7
195110,56.2
195111,39.7
195112,35.4
195201,33.9
195202,34
195203,38
195204,52.1
195205,58.3
195206,70.9
195207,76.3
195208,71.7
195209,65.1
195210,50.8
195211,43.6
195212,35.3
195301,34.9
195302,36
195303,41.4
195304,49.9
195305,62.2
195306,69.6
195307,74
195308,71.6
195309,66.1
195310,55.8
195311,43.8
195312,37.2
195401,28.6
195402,37.7
195403,39.7
195404,52.3
195405,57.6
195406,69.2
195407,73.3
195408,70.6
195409,65.1
195410,57.8
195411,41.6
195412,33
195501,28.3
195502,31.6
195503,40.4
195504,52.2
195505,62.6
195506,66.6
195507,78.4
195508,75.5
195509,64.6
195510,56.2
195511,41.3
195512,27.3
195601,29.4
195602,34.5
195603,35.9
195604,46.4
195605,57.3
195606,69.4
195607,71.1
195608,71.2
195609,62.6
195610,54.7
195611,43.8
195612,39.1
195701,26.3
