Set,TIME,JD Time,ndiv_PDCSAP_FLUX
10,918.9223042,8/13/23 22:08,0.909292303
10,918.9427383,8/13/23 22:37,0.931751891
10,918.9631723,8/13/23 23:06,0.975054969
10,918.9836065,8/13/23 23:36,1.018101746
10,919.0040406,8/14/23 0:05,1.056804911
10,919.0244745,8/14/23 0:35,1.084362966
10,919.0449087,8/14/23 1:04,1.089855821
10,919.0653428,8/14/23 1:34,1.072153026
10,919.0857768,8/14/23 2:03,1.035362424
10,919.106211,8/14/23 2:32,0.989592093
10,919.1266451,8/14/23 3:02,0.942467191
10,919.1470793,8/14/23 3:31,0.909514083
10,919.1675132,8/14/23 4:01,0.909216235
10,919.1879473,8/14/23 4:30,0.937748342
10,919.2083815,8/14/23 5:00,0.976319785
10,919.2288155,8/14/23 5:29,1.01322704
10,919.2492496,8/14/23 5:58,1.038368274
10,919.2696838,8/14/23 6:28,1.044872946
10,919.2901179,8/14/23 6:57,1.030172519
10,919.3105518,8/14/23 7:27,1.000984799
10,919.330986,8/14/23 7:56,0.967592515
10,919.3514201,8/14/23 8:26,0.934665884
10,919.3718541,8/14/23 8:55,0.910869915
10,919.3922883,8/14/23 9:24,0.918204069
10,919.4127223,8/14/23 9:54,0.955863958
10,919.4331564,8/14/23 10:23,1.000532715
10,919.4535905,8/14/23 10:53,1.041389375
10,919.4740245,8/14/23 11:22,1.074097769
10,919.4944587,8/14/23 11:52,1.089473441
10,919.5148928,8/14/23 12:21,1.081097692
10,919.5353267,8/14/23 12:50,1.051036003
10,919.5557609,8/14/23 13:20,1.007859124
10,919.576195,8/14/23 13:49,0.959780581
10,919.596629,8/14/23 14:19,0.918470216
10,919.6170632,8/14/23 14:48,0.904489282
10,919.6374973,8/14/23 15:18,0.92351525
10,919.6579314,8/14/23 15:47,0.960416141
10,919.6783654,8/14/23 16:16,0.998739747
10,919.6987995,8/14/23 16:46,1.029867107
10,919.7192337,8/14/23 17:15,1.044042684
10,919.7396677,8/14/23 17:45,1.03716908
10,919.7601017,8/14/23 18:14,1.013101141
10,919.7805359,8/14/23 18:43,0.98003198
10,919.80097,8/14/23 19:13,0.947345739
10,919.821404,8/14/23 19:42,0.917974424
10,919.8418381,8/14/23 20:12,0.910753922
10,919.8622722,8/14/23 20:41,0.9382538
10,919.8827062,8/14/23 21:11,0.982961643
10,919.9031404,8/14/23 21:40,1.025282563
10,919.9235745,8/14/23 22:09,1.062204828
10,919.9440086,8/14/23 22:39,1.085856886
10,919.9644426,8/14/23 23:08,1.086965003
10,919.9848767,8/14/23 23:38,1.065130168
10,920.0053108,8/15/23 0:07,1.025811436
10,920.0257448,8/15/23 0:37,0.979043878
10,920.0461789,8/15/23 1:06,0.933332085
10,920.066613,8/15/23 1:35,0.906220231
10,920.0870471,8/15/23 2:05,0.912826066
10,920.1074812,8/15/23 2:34,0.94532733
10,920.1279152,8/15/23 3:04,0.983729586
10,920.1483493,8/15/23 3:33,1.018859603
10,920.1687835,8/15/23 4:03,1.040599278
10,920.1892175,8/15/23 4:32,1.042300808
10,920.2096515,8/15/23 5:01,1.024835282
10,920.2300857,8/15/23 5:31,0.99419765
10,920.2505197,8/15/23 6:00,0.961552296
10,920.2709538,8/15/23 6:30,0.929642884
10,920.2913879,8/15/23 6:59,0.910221027
10,920.311822,8/15/23 7:29,0.923891506
10,920.332256,8/15/23 7:58,0.964519362
10,920.3526902,8/15/23 8:27,1.007926126
10,920.3731242,8/15/23 8:57,1.047605505
10,920.3935582,8/15/23 9:26,1.0775168
10,920.4139924,8/15/23 9:56,1.088049225
10,920.4344264,8/15/23 10:25,1.075684447
10,920.4548605,8/15/23 10:55,1.042453364
10,920.4752946,8/15/23 11:24,0.998034784
10,920.4957287,8/15/23 11:53,0.950883405
10,920.5161628,8/15/23 12:23,0.91346841
10,920.5365968,8/15/23 12:52,0.905800447
10,920.5570309,8/15/23 13:22,0.930181783
10,920.577465,8/15/23 13:51,0.968258214
10,920.597899,8/15/23 14:20,1.005950223
10,920.6183331,8/15/23 14:50,1.03408398
10,920.6387673,8/15/23 15:19,1.044579361
10,920.6592012,8/15/23 15:49,1.034046936
10,920.6796353,8/15/23 16:18,1.007545246
10,920.7000695,8/15/23 16:48,0.974514029
10,920.7205034,8/15/23 17:17,0.942350777
10,920.7409376,8/15/23 17:46,0.914621675
10,920.7613717,8/15/23 18:16,0.913208086
10,920.7818057,8/15/23 18:45,0.945044972
10,920.8022398,8/15/23 19:15,0.989566817
10,920.8226738,8/15/23 19:44,1.030760889
10,920.8431079,8/15/23 20:14,1.06599141
10,920.863542,8/15/23 20:43,1.085520974
10,920.9044101,8/15/23 21:42,1.057513657
10,920.9248442,8/15/23 22:11,1.016863467
10,920.9452783,8/15/23 22:41,0.970361337
10,920.9657124,8/15/23 23:10,0.926782805
10,920.9861464,8/15/23 23:40,0.905468078
10,921.0065805,8/16/23 0:09,0.918534817
10,921.0270147,8/16/23 0:38,0.953560309
10,921.0474486,8/16/23 1:08,0.992490957
10,921.0678827,8/16/23 1:37,1.026078424
10,921.0883169,8/16/23 2:07,1.045013675
10,921.1087508,8/16/23 2:36,1.043251686
10,921.1291849,8/16/23 3:06,1.020005904
10,921.1496191,8/16/23 3:35,0.990630506
10,921.170053,8/16/23 4:04,0.957745601
10,921.1904871,8/16/23 4:34,0.925810974
10,921.2109213,8/16/23 5:03,0.910339422
10,921.2313552,8/16/23 5:33,0.929077208
10,921.2517894,8/16/23 6:02,0.971307352
10,921.2722235,8/16/23 6:32,1.014128627
10,921.2926574,8/16/23 7:01,1.052621
10,921.3130916,8/16/23 7:30,1.079542414
10,921.3335256,8/16/23 8:00,1.086573857
10,921.3539597,8/16/23 8:29,1.070282429
10,921.3743938,8/16/23 8:59,1.035377313
10,921.3948278,8/16/23 9:28,0.990474408
10,921.4152618,8/16/23 9:57,0.943968495
10,921.435696,8/16/23 10:27,0.911132941
10,921.45613,8/16/23 10:56,0.910309583
10,921.4765641,8/16/23 11:26,0.939240341
10,921.4969982,8/16/23 11:55,0.978479943
10,921.5174322,8/16/23 12:25,1.015752649
10,921.5378664,8/16/23 12:54,1.041736933
10,921.5583003,8/16/23 13:23,1.048413793
10,921.5787344,8/16/23 13:53,1.034564762
10,921.5991686,8/16/23 14:22,1.005968114
10,921.6196025,8/16/23 14:52,0.972119182
10,921.6400366,8/16/23 15:21,0.939142059
10,921.6604707,8/16/23 15:51,0.913032476
10,921.6809047,8/16/23 16:20,0.916969992
10,921.7013388,8/16/23 16:49,0.952490496
10,921.7217729,8/16/23 17:19,0.997394001
10,921.7422069,8/16/23 17:48,1.037885511
10,921.762641,8/16/23 18:18,1.071321202
10,921.7830751,8/16/23 18:47,1.087466018
10,921.8035091,8/16/23 19:17,1.080953421
10,921.8239432,8/16/23 19:46,1.052977384
10,921.8443773,8/16/23 20:15,1.010998798
10,921.8648113,8/16/23 20:45,0.963518412
10,921.8852454,8/16/23 21:14,0.922398487
10,921.9056795,8/16/23 21:44,0.906617741
10,921.9261135,8/16/23 22:13,0.925364593
10,921.9465476,8/16/23 22:43,0.962694754
10,921.9669816,8/16/23 23:12,1.001381409
10,921.9874157,8/16/23 23:41,1.033555407
