Date,NVAX
2024-06-03,18.219999313354492
2024-06-04,17.760000228881836
2024-06-05,20.969999313354492
2024-06-06,19.559999465942383
2024-06-07,18.170000076293945
2024-06-10,16.010000228881836
2024-06-11,16.729999542236328
2024-06-12,15.859999656677246
2024-06-13,15.050000190734863
2024-06-14,14.399999618530273
2024-06-17,14.050000190734863
2024-06-18,13.789999961853027
2024-06-20,14.0600004196167
2024-06-21,14.0
2024-06-24,14.020000457763672
2024-06-25,14.0
2024-06-26,13.109999656677246
2024-06-27,12.829999923706055
2024-06-28,12.65999984741211
2024-07-01,12.729999542236328
2024-07-02,12.970000267028809
2024-07-03,12.550000190734863
2024-07-05,11.899999618530273
2024-07-08,12.0600004196167
2024-07-09,11.84000015258789
2024-07-10,11.9399995803833
2024-07-11,12.960000038146973
2024-07-12,13.109999656677246
2024-07-15,15.119999885559082
2024-07-16,16.440000534057617
2024-07-17,15.850000381469727
2024-07-18,14.960000038146973
2024-07-19,13.850000381469727
2024-07-22,14.9399995803833
2024-07-23,16.389999389648438
2024-07-24,15.399999618530273
2024-07-25,16.670000076293945
2024-07-26,17.110000610351562
2024-07-29,16.420000076293945
2024-07-30,12.199999809265137
2024-07-31,12.8100004196167
2024-08-01,12.569999694824219
2024-08-02,11.779999732971191
2024-08-05,11.380000114440918
2024-08-06,11.529999732971191
2024-08-07,10.710000038146973
2024-08-08,11.680000305175781
2024-08-09,11.600000381469727
2024-08-12,11.850000381469727
2024-08-13,12.15999984741211
2024-08-14,12.1899995803833
2024-08-15,12.640000343322754
2024-08-16,12.960000038146973
2024-08-19,13.899999618530273
2024-08-20,13.020000457763672
2024-08-21,12.9399995803833
2024-08-22,11.960000038146973
2024-08-23,11.989999771118164
2024-08-26,11.510000228881836
2024-08-27,11.149999618530273
2024-08-28,11.130000114440918
2024-08-29,11.399999618530273
2024-08-30,12.380000114440918
2024-09-03,12.670000076293945
2024-09-04,11.869999885559082
2024-09-05,11.949999809265137
2024-09-06,11.630000114440918
2024-09-09,12.779999732971191
2024-09-10,12.699999809265137
2024-09-11,12.289999961853027
2024-09-12,11.920000076293945
2024-09-13,13.609999656677246
2024-09-16,13.199999809265137
2024-09-17,12.930000305175781
2024-09-18,12.5600004196167
2024-09-19,12.520000457763672
2024-09-20,12.90999984741211
2024-09-23,12.800000190734863
2024-09-24,13.289999961853027
2024-09-25,12.039999961853027
2024-09-26,12.149999618530273
2024-09-27,13.300000190734863
2024-09-30,12.630000114440918
2024-10-01,12.319999694824219
2024-10-02,14.680000305175781
2024-10-03,14.420000076293945
2024-10-04,13.609999656677246
2024-10-07,13.020000457763672
2024-10-08,13.039999961853027
2024-10-09,12.680000305175781
2024-10-10,12.90999984741211
2024-10-11,12.529999732971191
2024-10-14,12.619999885559082
2024-10-15,12.600000381469727
2024-10-16,10.149999618530273
2024-10-17,10.350000381469727
2024-10-18,10.180000305175781
2024-10-21,10.140000343322754
2024-10-22,10.119999885559082
2024-10-23,10.0
2024-10-24,9.920000076293945
2024-10-25,9.739999771118164
2024-10-28,10.25
2024-10-29,10.069999694824219
2024-10-30,9.84000015258789
2024-10-31,9.609999656677246
2024-11-01,9.350000381469727
2024-11-04,9.119999885559082
2024-11-05,9.4399995803833
2024-11-06,8.960000038146973
2024-11-07,9.180000305175781
2024-11-08,8.90999984741211
2024-11-11,9.010000228881836
2024-11-12,8.460000038146973
2024-11-13,7.769999980926514
2024-11-14,7.21999979019165
2024-11-15,7.320000171661377
2024-11-18,7.829999923706055
2024-11-19,8.0
2024-11-20,8.0600004196167
2024-11-21,8.039999961853027
2024-11-22,8.470000267028809
2024-11-25,9.319999694824219
2024-11-26,8.75
2024-11-27,8.619999885559082
2024-11-29,8.720000267028809
2024-12-02,8.770000457763672
2024-12-03,8.40999984741211
2024-12-04,8.300000190734863
2024-12-05,8.300000190734863
2024-12-06,8.9399995803833
2024-12-09,9.069999694824219
2024-12-10,8.770000457763672
2024-12-11,8.819999694824219
2024-12-12,9.020000457763672
2024-12-13,9.109999656677246
2024-12-16,9.229999542236328
2024-12-17,9.0
2024-12-18,8.630000114440918
2024-12-19,8.680000305175781
2024-12-20,8.699999809265137
2024-12-23,8.640000343322754
2024-12-24,8.510000228881836
2024-12-26,8.470000267028809
2024-12-27,8.279999732971191
2024-12-30,7.929999828338623
2024-12-31,8.039999961853027
2025-01-02,8.569999694824219
2025-01-03,8.850000381469727
2025-01-06,9.760000228881836
2025-01-07,10.819999694824219
2025-01-08,9.609999656677246
2025-01-10,9.319999694824219
2025-01-13,8.609999656677246
2025-01-14,8.510000228881836
2025-01-15,8.550000190734863
2025-01-16,8.529999732971191
2025-01-17,8.399999618530273
2025-01-21,8.8100004196167
2025-01-22,8.829999923706055
2025-01-23,9.550000190734863
2025-01-24,9.220000267028809
2025-01-27,9.319999694824219
2025-01-28,9.520000457763672
2025-01-29,8.8100004196167
2025-01-30,9.010000228881836
2025-01-31,8.6899995803833
2025-02-03,8.430000305175781
2025-02-04,8.4399995803833
2025-02-05,8.600000381469727
2025-02-06,8.270000457763672
2025-02-07,8.130000114440918
2025-02-10,8.1899995803833
2025-02-11,8.079999923706055
2025-02-12,7.829999923706055
2025-02-13,8.180000305175781
2025-02-14,8.1899995803833
2025-02-18,8.25
2025-02-19,8.020000457763672
2025-02-20,7.920000076293945
2025-02-21,7.989999771118164
2025-02-24,7.409999847412109
2025-02-25,7.170000076293945
2025-02-26,7.320000171661377
2025-02-27,7.059999942779541
2025-02-28,8.329999923706055
2025-03-03,7.869999885559082
2025-03-04,7.679999828338623
